CodProd;Produto;Categoria;Segmento;Fabricante;CEP;Cidade;Estado;Região;Data;Quantidade
2100;Currus YY-04;Jovem;Jovem;Currus;18426;Nova Odessa;SP;Sudeste;02/03/2021;3149,55
396;Maximus UM-01;Urbano;Clássico;Maximus;18428;Santos;SP;Sudeste;03/03/2021;7011,83
2334;Aliqui UE-08;Urbano;Radical;Aliqui;18431;São Vicente;SP;Sudeste;04/03/2021;2876,55
2391;Aliqui UC-39;Urbano;Dia-a-Dia;Aliqui;18434;Guarujá;SP;Sudeste;05/03/2021;6173,52
2402;Aliqui YY-11;Jovem;Jovem;Aliqui;18434;Guarujá;SP;Sudeste;06/03/2021;2435,56
1096;Pirum RP-42;Rural;Trabalho;Pirum;18436;Bertioga;SP;Sudeste;07/03/2021;965,57
1098;Pirum RP-44;Rural;Trabalho;Pirum;18436;Bertioga;SP;Sudeste;08/03/2021;2561,55
964;Natura UC-27;Urbano;Dia-a-Dia;Natura;18438;Monte Sião;SP;Sudeste;09/03/2021;2519,55
585;Maximus UC-50;Urbano;Dia-a-Dia;Maximus;18444;Ribeirão Preto;SP;Sudeste;10/03/2021;3359,55
762;Natura RP-50;Rural;Trabalho;Natura;18444;Ribeirão Preto;SP;Sudeste;11/03/2021;1511,56
792;Natura RP-80;Rural;Trabalho;Natura;18428;Santos;SP;Sudeste;12/03/2021;503,57
1059;Pirum RP-05;Rural;Trabalho;Pirum;18428;Santos;SP;Sudeste;13/03/2021;1343,57
1177;Pirum UE-13;Urbano;Radical;Pirum;18431;São Vicente;SP;Sudeste;14/03/2021;2099,56
1191;Pirum UE-27;Urbano;Radical;Pirum;18431;São Vicente;SP;Sudeste;15/03/2021;2120,56
2396;Aliqui YY-05;Jovem;Jovem;Aliqui;18431;São Vicente;SP;Sudeste;16/03/2021;776,57
342;Fama UE-63;Urbano;Radical;Fama;18434;Guarujá;SP;Sudeste;17/03/2021;5457,85
609;Maximus UC-74;Urbano;Dia-a-Dia;Maximus;18444;Ribeirão Preto;SP;Sudeste;18/03/2021;7179,83
910;Natura UE-19;Urbano;Radical;Natura;18444;Ribeirão Preto;SP;Sudeste;19/03/2021;3317,55
506;Maximus UM-11;Urbano;Clássico;Maximus;18447;Bebedouro;SP;Sudeste;20/03/2021;9995,48
472;Maximus UM-77;Urbano;Clássico;Maximus;18336;Rio Claro;SP;Sudeste;21/03/2021;7690,12
604;Maximus UC-69;Urbano;Dia-a-Dia;Maximus;18403;São Carlos;SP;Sudeste;22/03/2021;3958,46
647;Maximus UC-12;Urbano;Dia-a-Dia;Maximus;18403;São Carlos;SP;Sudeste;23/03/2021;7478,03
2054;Currus UE-14;Urbano;Radical;Currus;18428;Santos;SP;Sudeste;24/03/2021;4556,53
797;Natura RS-01;Rural;Esporte Fino;Natura;18403;São Carlos;SP;Sudeste;25/03/2021;2477,56
1483;Quibus RP-75;Rural;Trabalho;Quibus;18407;Campinas;SP;Sudeste;26/03/2021;608,15
2388;Aliqui UC-36;Urbano;Dia-a-Dia;Aliqui;18436;Bertioga;SP;Sudeste;27/03/2021;2603,55
647;Maximus UC-12;Urbano;Dia-a-Dia;Maximus;18411;Araraquara;SP;Sudeste;28/03/2021;7478,03
2205;Aliqui RP-02;Rural;Trabalho;Aliqui;18439;Batatis;SP;Sudeste;29/03/2021;1175,57
622;Maximus UC-87;Urbano;Dia-a-Dia;Maximus;18415;Santa Rita do Passa Quatro;SP;Sudeste;30/03/2021;6701,03
550;Maximus UC-15;Urbano;Dia-a-Dia;Maximus;18444;Ribeirão Preto;SP;Sudeste;31/03/2021;3315,87
2083;Currus UC-18;Urbano;Dia-a-Dia;Currus;18421;Presidente Prudente;SP;Sudeste;01/04/2021;2519,55
465;Maximus UM-70;Urbano;Clássico;Maximus;18447;Bebedouro;SP;Sudeste;02/04/2021;9449,49
769;Natura RP-57;Rural;Trabalho;Natura;18407;Campinas;SP;Sudeste;03/04/2021;2057,56
604;Maximus UC-69;Urbano;Dia-a-Dia;Maximus;18426;Nova Odessa;SP;Sudeste;04/04/2021;3777,86
467;Maximus UM-72;Urbano;Clássico;Maximus;18447;Bebedouro;SP;Sudeste;05/04/2021;7154,63
1065;Pirum RP-11;Rural;Trabalho;Pirum;18428;Santos;SP;Sudeste;06/04/2021;2435,56
631;Maximus UC-96;Urbano;Dia-a-Dia;Maximus;18447;Bebedouro;SP;Sudeste;07/04/2021;2769,87
605;Maximus UC-70;Urbano;Dia-a-Dia;Maximus;18411;Araraquara;SP;Sudeste;08/04/2021;3189,87
990;Natura UC-53;Urbano;Dia-a-Dia;Natura;18431;São Vicente;SP;Sudeste;09/04/2021;3527,54
2269;Aliqui RS-02;Rural;Esporte Fino;Aliqui;18447;Bebedouro;SP;Sudeste;10/04/2021;2309,56
1180;Pirum UE-16;Urbano;Radical;Pirum;18424;Taboão da Serra;SP;Sudeste;11/04/2021;4493,54
2251;Aliqui RP-48;Rural;Trabalho;Aliqui;18434;Guarujá;SP;Sudeste;12/04/2021;1007,57
550;Maximus UC-15;Urbano;Dia-a-Dia;Maximus;18470;Presidente Venceslau;SP;Sudeste;13/04/2021;3231,87
1212;Pirum UC-14;Urbano;Dia-a-Dia;Pirum;18424;Taboão da Serra;SP;Sudeste;14/04/2021;3779,54
1114;Pirum RS-02;Rural;Esporte Fino;Pirum;18425;Regente Feijó;SP;Sudeste;15/04/2021;1343,57
1180;Pirum UE-16;Urbano;Radical;Pirum;18428;Santos;SP;Sudeste;16/04/2021;4199,54
1884;Leo UC-03;Urbano;Dia-a-Dia;Leo;18431;São Vicente;SP;Sudeste;17/04/2021;6551,51
2084;Currus UC-19;Urbano;Dia-a-Dia;Currus;18433;Sorocaba;SP;Sudeste;18/04/2021;5291,53
571;Maximus UC-36;Urbano;Dia-a-Dia;Maximus;18436;Bertioga;SP;Sudeste;19/04/2021;4216,76
2252;Aliqui RP-49;Rural;Trabalho;Aliqui;18436;Bertioga;SP;Sudeste;20/04/2021;1091,57
605;Maximus UC-70;Urbano;Dia-a-Dia;Maximus;18438;Monte Sião;SP;Sudeste;21/04/2021;3189,87
769;Natura RP-57;Rural;Trabalho;Natura;18444;Ribeirão Preto;SP;Sudeste;22/04/2021;2288,56
2218;Aliqui RP-15;Rural;Trabalho;Aliqui;18445;Santa Cruz do Viterbo;SP;Sudeste;23/04/2021;1133,57
1212;Pirum UC-14;Urbano;Dia-a-Dia;Pirum;18453;Avaí;SP;Sudeste;24/04/2021;3233,55
1441;Quibus RP-33;Rural;Trabalho;Quibus;18472;Poços de Caldas;SP;Sudeste;25/04/2021;3989,54
644;Maximus UC-09;Urbano;Dia-a-Dia;Maximus;18504;São Manuel;SP;Sudeste;26/04/2021;6980,33
1105;Pirum RP-51;Rural;Trabalho;Pirum;18504;São Manuel;SP;Sudeste;27/04/2021;1973,56
578;Maximus UC-43;Urbano;Dia-a-Dia;Maximus;18505;São Manuel;SP;Sudeste;28/04/2021;6299,52
2016;Currus UR-19;Urbano;Regular;Currus;18505;São Manuel;SP;Sudeste;29/04/2021;2435,56
2016;Currus UR-19;Urbano;Regular;Currus;18508;São Manuel;SP;Sudeste;30/04/2021;2414,56
1850;Pomum YY-45;Jovem;Jovem;Pomum;18509;São Manuel;SP;Sudeste;01/05/2021;1217,57
769;Natura RP-57;Rural;Trabalho;Natura;18518;Bauru;SP;Sudeste;02/05/2021;2099,56
512;Maximus UR-01;Urbano;Regular;Maximus;18519;São Manuel;SP;Sudeste;03/05/2021;1845,88
2073;Currus UC-08;Urbano;Dia-a-Dia;Currus;18519;São Manuel;SP;Sudeste;04/05/2021;2897,55
1182;Pirum UE-18;Urbano;Radical;Pirum;18612;Bauru;SP;Sudeste;05/05/2021;1868,56
1212;Pirum UC-14;Urbano;Dia-a-Dia;Pirum;18612;Bauru;SP;Sudeste;06/05/2021;3086,55
1948;Currus RP-23;Rural;Trabalho;Currus;18615;Bauru;SP;Sudeste;07/05/2021;2372,56
