nr_protocolo	ds_depto
252	Ligacoes Excessivas
253	Seguros
254	Ligacoes Excessivas
255	Credito
256	Cambio
257	Cartao
258	Seguros
259	Seguros
260	Conta Corrente
261	Seguros
262	Conta Corrente
263	Seguros
264	Seguros
265	Credito
266	Credito
267	Cartao
268	Credito
269	Cambio
270	Cambio
271	Ligacoes Excessivas
272	Ligacoes Excessivas
273	Seguros
274	Ligacoes Excessivas
275	Ligacoes Excessivas
276	Seguros
277	Seguros
278	Credito
279	Conta Corrente
280	Seguros
281	Seguros
282	Seguros
283	Credito
284	Conta Corrente
285	Cartao
286	Ligacoes Excessivas
287	Ligacoes Excessivas
288	Cambio
289	Conta Corrente
290	Credito
291	Credito
292	Ligacoes Excessivas
293	Ligacoes Excessivas
294	Credito
295	Conta Corrente
296	Cambio
297	Conta Corrente
298	Seguros
299	Cambio
300	Ligacoes Excessivas
301	Cartao
302	Cartao
303	Cambio
304	Conta Corrente
305	Credito
306	Conta Corrente
307	Ligacoes Excessivas
308	Cambio
309	Conta Corrente
310	Conta Corrente
311	Cambio
312	Seguros
313	Seguros
314	Conta Corrente
315	Cartao
316	Cambio
317	Cambio
318	Credito
319	Cartao
320	Ligacoes Excessivas
321	Credito
322	Credito
323	Cambio
324	Ligacoes Excessivas
325	Conta Corrente
326	Credito
327	Conta Corrente
328	Ligacoes Excessivas
329	Conta Corrente
330	Ligacoes Excessivas
331	Conta Corrente
332	Conta Corrente
333	Cartao
334	Conta Corrente
335	Cambio
336	Ligacoes Excessivas
337	Cartao
338	Seguros
339	Seguros
340	Seguros
341	Cartao
342	Ligacoes Excessivas
343	Credito
344	Ligacoes Excessivas
345	Ligacoes Excessivas
346	Cartao
347	Cambio
348	Cartao
349	Ligacoes Excessivas
350	Seguros
351	Seguros
352	Ligacoes Excessivas
353	Seguros
354	Seguros
355	Cartao
356	Conta Corrente
357	Cambio
358	Cambio
359	Credito
360	Seguros
361	Credito
362	Ligacoes Excessivas
363	Conta Corrente
364	Conta Corrente
365	Ligacoes Excessivas
366	Cambio
367	Ligacoes Excessivas
368	Seguros
369	Seguros
370	Cartao
371	Credito
372	Credito
373	Ligacoes Excessivas
374	Seguros
375	Conta Corrente
376	Cambio
377	Seguros
378	Credito
379	Cambio
380	Seguros
381	Ligacoes Excessivas
382	Cambio
383	Seguros
384	Ligacoes Excessivas
385	Seguros
386	Cambio
387	Seguros
388	Seguros
389	Cambio
390	Seguros
391	Cartao
392	Conta Corrente
393	Cartao
394	Ligacoes Excessivas
395	Conta Corrente
396	Cartao
397	Conta Corrente
398	Seguros
399	Cambio
400	Conta Corrente
401	Cartao
402	Conta Corrente
403	Seguros
404	Credito
405	Cartao
406	Credito
407	Cartao
408	Cambio
409	Conta Corrente
410	Cambio
411	Cartao
412	Ligacoes Excessivas
413	Credito
414	Cambio
415	Cambio
416	Seguros
417	Cambio
418	Cambio
419	Cambio
420	Cartao
421	Cartao
422	Conta Corrente
423	Conta Corrente
424	Ligacoes Excessivas
425	Credito
426	Ligacoes Excessivas
427	Cambio
428	Cambio
429	Conta Corrente
430	Cartao
431	Ligacoes Excessivas
432	Seguros
433	Conta Corrente
434	Conta Corrente
435	Credito
436	Seguros
437	Cartao
438	Seguros
439	Cambio
440	Seguros
441	Cartao
442	Ligacoes Excessivas
443	Cartao
444	Conta Corrente
445	Seguros
446	Cartao
447	Seguros
448	Seguros
449	Credito
450	Seguros
451	Cartao
452	Cambio
453	Cartao
454	Cartao
455	Ligacoes Excessivas
456	Ligacoes Excessivas
457	Conta Corrente
458	Seguros
459	Seguros
460	Conta Corrente
461	Cambio
462	Credito
463	Conta Corrente
464	Conta Corrente
465	Seguros
466	Cambio
467	Cartao
468	Conta Corrente
469	Seguros
470	Credito
471	Conta Corrente
472	Ligacoes Excessivas
473	Cambio
474	Conta Corrente
475	Cartao
476	Seguros
477	Cartao
478	Conta Corrente
479	Credito
480	Credito
481	Credito
482	Credito
483	Cambio
484	Cartao
485	Cambio
486	Credito
487	Cambio
488	Ligacoes Excessivas
489	Conta Corrente
490	Credito
491	Credito
492	Cartao
493	Cartao
494	Cartao
495	Seguros
496	Ligacoes Excessivas
497	Credito
498	Conta Corrente
499	Credito
500	Conta Corrente
