NumeroNF Loja Produto Vendedor ValorUnitario Quantidade ValorTotal Data
45 Ouro BolaVinilGrande Yuri 4 3 12 05/02/2020
46 Plus MordedorCordaBola Marina 16 4 64 09/02/2020
47 Plus GatoPena João 9 5 45 13/02/2020
48 Ouro VitaminaEGranulado Gustavo 13 3 39 17/02/2020
49 Ouro Roupaparagato Adriana 25 5 125 09/03/2020
50 Plus BiscoitoChampion Yuri 21 2 42 13/03/2020
51 Ouro CamaGatoPequeno Marina 45 4 180 17/03/2020
52 Plus FlexGrande João 21 2 42 21/03/2020
53 Ouro BolaVinilGrande Gustavo 4 1 4 14/04/2020
54 Plus MordedorCordaBola Adriana 16 3 48 18/04/2020
55 Plus GatoPena Yuri 9 1 9 22/04/2020
56 Ouro VitaminaEGranulado Marina 13 5 65 26/04/2020
57 Plus BiscoitoChampion João 21 2 42 16/05/2019
58 Ouro CamaGatoPequeno Gustavo 45 2 90 20/05/2019
59 Plus FlexGrande Adriana 21 6 126 24/05/2019
60 Ouro BolaVinilGrande Yuri 4 3 12 17/06/2019
61 Plus MordedorCordaBola Marina 16 4 64 21/06/2019
62 Plus GatoPena João 9 5 45 25/06/2019
63 Ouro VitaminaEGranulado Gustavo 13 3 39 29/06/2019
64 Ouro Roupaparagato Adriana 25 5 125 20/07/2019
65 Plus BiscoitoChampion Yuri 21 2 42 24/07/2019
66 Ouro CamaGatoPequeno Marina 45 4 180 28/07/2019
67 Plus FlexGrande João 21 2 42 01/08/2019
68 Ouro BolaVinilGrande Gustavo 4 1 4 25/08/2019
69 Plus MordedorCordaBola Adriana 16 3 48 29/08/2019
70 Plus GatoPena Yuri 9 1 9 02/09/2019
71 Ouro VitaminaEGranulado Marina 13 5 65 06/09/2019
72 Ouro Roupaparagato João 25 3 75 08/01/2020
73 Plus BiscoitoChampion Gustavo 21 2 42 12/01/2020
74 Ouro CamaGatoPequeno Adriana 45 2 90 16/01/2020
75 Plus FlexGrande Yuri 21 6 126 20/01/2020
76 Ouro BolaVinilGrande Marina 4 3 12 13/02/2020
77 Plus MordedorCordaBola João 16 4 64 17/02/2020
78 Plus GatoPena Gustavo 9 5 45 21/02/2020
79 Ouro VitaminaEGranulado Adriana 13 3 39 25/02/2020
80 Ouro Roupaparagato Yuri 25 5 125 17/03/2020
81 Plus BiscoitoChampion Marina 21 2 42 21/03/2020
82 Ouro CamaGatoPequeno João 45 4 180 25/03/2020
83 Plus FlexGrande Gustavo 21 2 42 29/03/2020
84 Ouro BolaVinilGrande Adriana 4 1 4 22/04/2020
85 Plus MordedorCordaBola Yuri 16 3 48 26/04/2020
86 Plus GatoPena Marina 9 1 9 30/04/2020
87 Ouro VitaminaEGranulado João 13 5 65 04/05/2019
88 Plus BiscoitoChampion Gustavo 21 2 42 06/06/2019
89 Ouro CamaGatoPequeno Adriana 45 2 90 10/06/2019
90 Plus FlexGrande Yuri 21 6 126 14/06/2019
91 Ouro BolaVinilGrande Marina 4 3 12 08/07/2019
92 Plus MordedorCordaBola João 16 4 64 12/07/2019
93 Plus GatoPena Gustavo 9 5 45 16/07/2019
94 Ouro VitaminaEGranulado Adriana 13 3 39 20/07/2019
95 Ouro Roupaparagato Yuri 25 5 125 10/08/2019
96 Plus BiscoitoChampion Marina 21 2 42 14/08/2019
97 Ouro CamaGatoPequeno João 45 4 180 18/08/2019
98 Plus FlexGrande Gustavo 21 2 42 22/08/2019
99 Ouro BolaVinilGrande Adriana 4 1 4 15/09/2019
100 Plus MordedorCordaBola Yuri 16 3 48 19/09/2019
